id,review_count,categories,rating,transactions,latitude,longitude,neighbourhood
oopgHvduXbtgwNRmybEhgQ,1321,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['pickup', 'delivery']",40.720315,-73.987774,Noho
UM3DuPsG6UKdmsC23O_Icw,144,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,[],40.71226,-73.96641,Lower East Side
dc3hkLkAqCSxDWQzrx-g9A,1346,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['pickup', 'delivery']",40.7644044527436,-73.9767805051616,Midtown
1LIptXhtDh58vAA-QPFL4w,1481,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"['pickup', 'delivery']",40.745414,-73.979004,Murray Hill
7xV4gzrgaOgQYtPC3FBZig,1218,"[{'alias': 'greek', 'title': 'Greek'}]",4.5,"['pickup', 'delivery']",40.72608,-73.98415,East Village
tmzWZtu9Nimn7Hfas9XmcA,296,"[{'alias': 'french', 'title': 'French'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"['pickup', 'delivery']",40.76306,-73.9786,Midtown
4FD0TAxe70nb3ngk3sXF9Q,829,"[{'alias': 'tea', 'title': 'Tea Rooms'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'szechuan', 'title': 'Szechuan'}]",4.5,"['pickup', 'delivery']",40.7293403,-73.9866071,East Village
0dDCDQz7DrKkSvu9h2hcQw,608,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"['pickup', 'delivery', 'restaurant_reservation']",40.72915,-74.00072,Greenwich Village
Jy0nQ1uI8KPvTv8nBZGdMg,224,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,[],40.7197229753629,-73.98919771717,Noho
X8yEmEDD9ZTkHoIRFqzcRw,637,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,"['pickup', 'delivery']",40.74697,-73.9864,Midtown South
yecdlU3oJb1c7rwbjtxchQ,191,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,"['pickup', 'delivery']",40.72697,-73.98863,Noho
ZOa13veZkzGjA-x3kMfOmA,408,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,['delivery'],40.73513,-74.00065,West Village
Txm8KtUh9Mn2E7980jTr5g,375,"[{'alias': 'indpak', 'title': 'Indian'}]",4.0,['delivery'],40.7180658,-73.9881304,Noho
