,id,review_count,categories,rating,neighbourhood,count_of_businesses,scores
56,xkvv0n7jbl4Ra3Vm_jfxaA,1193,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,Gramercy,16,7.731958762886598
57,ynR4-QgEOsE7VhNfIWo73w,145,"[{'alias': 'japanese', 'title': 'Japanese'}]",5.0,Noho,90,45.876288659793815
58,TfJb2hS3Fem2nkIyz13KUA,171,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.5,East Village,62,31.443298969072163
59,MGRo61aHFUeRlWhSbTv2NA,1070,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,Noho,90,45.876288659793815
60,5TX0X8w5ssIACU_pnBEq6g,2536,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,Midtown,59,29.896907216494846
61,JlFbaMbMzsu7FA307mUIqg,1917,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,Roosevelt Island,54,27.31958762886598
62,fVsH6QIJPzXpVbgmeiolsA,740,"[{'alias': 'korean', 'title': 'Korean'}]",4.5,Tribeca,18,8.762886597938143
63,CfOBb6NU2awo8xclJpKU3g,645,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,Lower East Side,195,100.0
64,nBkSqOhZMa1A7Yk3q8VPaA,730,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'lounges', 'title': 'Lounges'}]",4.0,Noho,90,45.876288659793815
65,4XX-zF8h5Lvrr22_tqU6-Q,1271,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,Chinatown,82,41.75257731958763
66,rJfGgBleDYCVq2rkBr_w-Q,316,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,Lower East Side,195,100.0
67,obFs12x7mgYPGxgalBd22w,685,"[{'alias': 'french', 'title': 'French'}]",4.0,Little Italy,48,24.22680412371134
68,LQHegfNHe7ylY3bocrFlpg,1884,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,Midtown,59,29.896907216494846
69,9fG8-RRh1rzuCKN2TmF-QQ,664,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,Little Italy,48,24.22680412371134
70,8YWLuLUKj0t_0_Xv06UUtw,254,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'speakeasies', 'title': 'Speakeasies'}]",4.5,Noho,90,45.876288659793815
71,qBGKigOGn_flCx1apxPzlA,775,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,Greenwich Village,70,35.56701030927835
72,PHMkwS5nmo4IUXbcg0OcAg,593,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,West Village,60,30.412371134020617
73,DoSU8IPq-Py_YV3kYmXPfQ,2622,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,Midtown,59,29.896907216494846
74,Sp-vnk-waTvKblG_88M4TA,295,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,Noho,90,45.876288659793815
75,mlm40NxsVJUPnh3LTayaaw,336,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,Little Italy,48,24.22680412371134
76,IOHaEgK1zDvUvB3SfKuGCw,1612,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,Midtown,59,29.896907216494846
77,0dDCDQz7DrKkSvu9h2hcQw,610,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,Greenwich Village,70,35.56701030927835
78,eQ4QUGvuHGBzsOrphsVc6A,352,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'hotpot', 'title': 'Hot Pot'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,Noho,90,45.876288659793815
79,TBp9gdS6xEbSQqffVZ7iag,1393,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,Midtown South,47,23.711340206185564
80,c_Kellz-oODKoNpcRbV24w,846,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.0,Noho,90,45.876288659793815
81,Au1AcsukhrbUfn6oit8tZw,377,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,Clinton,38,19.072164948453608
82,nxTEuWKzkK1tCF4LrhFSUQ,1862,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",4.0,Lower East Side,195,100.0
83,4x_WyIOEdqxk01QH1HxYrw,1328,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,Noho,90,45.876288659793815
84,mPHPVJ2-8mOR-lFHafrc6w,323,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,Lower East Side,195,100.0
85,0FaLilJs2VN83hOEBcBnPg,1532,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'lebanese', 'title': 'Lebanese'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,East Village,62,31.443298969072163
86,UM3DuPsG6UKdmsC23O_Icw,144,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,Lower East Side,195,100.0
87,_4Grm99JEHnDWskCHAJfUg,806,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,Chinatown,82,41.75257731958763
88,zGAQqDu0Ak2khVYs9WdQxw,1718,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,West Village,60,30.412371134020617
89,xEnNFXtMLDF5kZDxfaCJgA,10321,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'halal', 'title': 'Halal'}]",4.0,Midtown,59,29.896907216494846
90,7xV4gzrgaOgQYtPC3FBZig,1219,"[{'alias': 'greek', 'title': 'Greek'}]",4.5,East Village,62,31.443298969072163
91,Orbsfc3nI21mQ8cwSPahhg,294,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.5,Lower East Side,195,100.0
92,HFOiW4RvijuoblE4DD3JwA,732,"[{'alias': 'food_court', 'title': 'Food Court'}]",4.0,Lower East Side,195,100.0
93,jVncyqXwlx_D9f2xZn05tg,3390,"[{'alias': 'artmuseums', 'title': 'Art Museums'}]",4.5,Upper East Side,4,1.5463917525773196
94,kB-lmHs7yNwLIlQyp0kMmQ,2255,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,Midtown,59,29.896907216494846
95,dOxHYQmBR14Fa2C1X8oMMQ,490,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,Midtown,59,29.896907216494846
96,zo4mcEfVKaktdj_gnSFhGQ,833,"[{'alias': 'german', 'title': 'German'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'austrian', 'title': 'Austrian'}]",4.5,Chinatown,82,41.75257731958763
97,rCpO-kMHljieU0geK0RJQw,590,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.0,East Village,62,31.443298969072163
98,X8yEmEDD9ZTkHoIRFqzcRw,644,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,Midtown South,47,23.711340206185564
99,dgaNriM1VdI2nGochhHE_g,1467,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,Tudor City,8,3.608247422680412
100,_EBQhV-UQ7NoV66uXYH0dw,381,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,Chinatown,82,41.75257731958763
101,oopgHvduXbtgwNRmybEhgQ,1322,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,Noho,90,45.876288659793815
102,pNe8ZCkGTe4cXfKdOF7kYQ,618,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,Noho,90,45.876288659793815
